"e Altre attività non correnti, auzionali",ri a 433 mila euro (445 mila,"2 al 31 dicembre 2021), sono relati",ive depositi
cauzionali.,,,
5.7 Attività commer,iali,,
"e Attività commerciali, a pari",8.228 mila euro (188.706 mils,"r0 al 31 dicembre 2021), comprend",lono:
"rimanenze; pari a 4.285 mil stiario, ricambi, materiali d","euro (4.424 mila euro al 31 di pulizia; carburanti, ecc;","bre 2021), costituite da materiali",di consumo; ve -
"crediti commerciali, pari a posizione nella tabella segu",13.943 mila euro (184.282 mila ente:,0 al 31 dicembre 2021) per i quali,si riporta la com
(migliaia di euro),31.12.2022,31.12.2021 Var,riazione
Crediti verso clienti,362.215,341.898,20.317
Crediti verso imprese controllate,13.803,7.423,6.380
Crediti verso impresa controllante,123,(123),
Altri crediti commerciali,1.769,957,812
"TOTALE CREDITI COMMERCIALI, AL LORDO DEL FONDO SVALUTAZIONE",377.787,350.401,27.386
Fondo svalutazione crediti,(162.112),(164.377),2.265
Fondo svalutazione crediti per interessi di mora,(1.732),(1.742),10
TOTALE FONDO SVALUTAZIONE CREDITI,(163.844),(166.119),2.275
TOTALE CREDITI COMMERCIALI,213.943,184.282,29.661
