,,,,,,
Relazione su,lla gestione,Bilancio consol,lidato Bilancio di,Jato Bilancio di Es,sercizio,Delibera dell'Assemt
[ 1,1 ,| ,9 5 8:, 5 8:,4 { 1 1I,
Gestione rifiuti,Gruppo ADR Comunità ambiente,Diretto Legato alle relazioni di business,Rifiuti,Rifiuti,306-1 306-2 306-3,Riduzione della produzione dei rifiuti.
Formazione personale,Gruppo ADR,Diretto,Formazione e istruzione,Formazione e istruzione,404-1,"Creazione di un ambiente di lavoro stimolante, che offra opportunità di crescita ai dipendenti attraverso programmi di formazione e di svilupp delle competenze"
Climate change,Gruppo ADR Stakeholder del Gruppo e Sistema Paese Comunità ambiente,Diretto Legato alle relazioni di business,Emissioni,Emissioni,305-1 305-2 305-3,Emissioni di gas a effetto serra che contribuiscono al cambiamento climatico; soprattutto a causa del consumo di energia da fonti non rinnovabili elo delle emissioni dirette delle attività produttivellogistiche
Efficienza energetica,Gruppo ADR Stakeholder del Gruppo e Sistema Paese Istituzioni Comunità ambiente,Diretto Legato alle relazioni di business,Energia,Energia,302-1,Riduzione dei consumi energetici attraverso l'implementazione di azior di efficientamento nella gestione edifici e nelle operazioni aeroportuall deg
Idee ed Innovazione,Gruppo ADR Clienti Sistema Paese,Diretto Legato alle rela - zioni di business,n.a.,n.a,n.a,"Supporto alla crescita dell'ecosistem locale; regionale e nazionale d'inno - vazione, oltre che all'innovazione nel settore del trasporto aereo"
Consumi idrici,Gruppo ADR Comunità ambiente,Diretto Legato alle relazioni di business,Acqua,Acqua,303-1 303-2 303-,"Circolarità dell'utilizzo delle risorse idriche. Attraverso un sistema duale, gran parte dell'acqua utilizzata è acq industriale; producendo un grande risparmio di acqua potabile."
Sviluppo infrastrutture sostenibili,"Gruppo ADR Investitori, comunità finanziaria e Istituzioni",Diretto Legato alle relazioni di business,n.a,n.a.,n.a,"Creazione e sviluppo di infrastrutture sostenibili e resilienti, in grado di effettuare un contributo sostanziale alla mitigazione e all'adattamento ai cambiamenti climatici"
Economia circolare,Gruppo ADR Comunità ambiente,Diretto Legato alle relazioni di business,Rifiuti,Rifiuti,306-1 306-2 306-3,Aumento della frazione di rifiuti avvis a recupero
Condizioni contrattuali,Gruppo ADR Clienti,Diretto Valu Legato alle Valut relazioni di business,lutazione ambientale dei fornitori Jtazione dei fornitori su tematiche sociali,zione ambientale dei fornitori ione dei fornitori su tematiche sociali,308-1 414-1,"Engagement attivo con tutti gli stakeholder affinché le condizioni contrattuali, che integrano criteri ES vengano rispettate."
Emissioni aeroportuali,Gruppo ADR Comunità ambiente,Diretto Legato alle relazioni di business,Emissioni,Emissioni,305-1 305-2,Riduzione delle emissioni aeroportua attraverso engagement attivo con gl stakeholder aviation ed altri partner industriali per rendere disponibili nec scali carburanti sostenibili.
Ecosistema biodiversità,Gruppo ADR Comunità e ambiente,Diretto Legato alle relazioni di business,Biodiversità,Biodiversità,304,Sviluppo di infrastrutture sostenibili assicurando la protezione e lo svilupr degli ecosistemi limitrofi all'aeroport
Gestione responsabile catena di fornitura,Gruppo ADR Catena di fornitura,Gruppo ADR Pr Catena di Valu fornitura,Pratiche di approvvigionamento lutazione ambientale dei fornitori,iche di approvvigionamento zione ambientale dei fornitori,204-1 308-1,Integrazione di criteri di sostenibilità e ESG nei confronti dei partner e dell'intera supply chain nella fase di selezione dei partner.
Pari opportunità diversity,Gruppo ADR Comunità ambiente,Diretto,Diversità e pari opportunità,versità pari opportunità,405-1,"Promozione di un luogo di lavoro inclusivo che garantisca pari opportunità a tutti dipendenti, senz discriminazione alcuna"
Anticorruzione conflitto di interessi,"Gruppo ADR Investitori, comunità finanziaria e Istituzioni",Diretto Legato alle relazioni di business,Anticorruzione,Anticorruzione,205-2,"Creazione di una cultura che preveng gli impatti reputazionale; legale ed economico della corruzione, dei comportamenti anticoncorrenziali 0 di altri tipi di condotta commerciale illecita all'interno delle operazioni aeroportuali e lungo la catena di 62"
